--,prolific_id,study_id,session_id,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
Please be patient as the study loads,,,,2024-09-30_15h31.52.646,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,29.85074627,,,
Please be patient as the study loads,,,,2024-09-30_15h31.52.646,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,29.85074627,return,10.8721,
