--,prolific_id,study_id,session_id,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h53.07.112,RewardEffortLearning_pilot7b,2023.1.3,Win32,60.60606061,,,
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h53.07.112,RewardEffortLearning_pilot7b,2023.1.3,Win32,60.60606061,return,6.1245,
