--,prolific_id,study_id,session_id,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,main_start_keys_3.keys,main_start_keys_3.rt,main_start_keys_3.duration,trial_score_pract,total_score_pract,treshold_pract,trial_duration_pract,nr_of_incr_pract,threshold_reached,time_sequence,mintime_sequence_all,mintime_pract at t,rtArray,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,practicetrials.ran,practPumps,effTresh,pract_img_keys.keys,pract_img_keys.rt,pract_img_keys.duration,reactionTimes_pract2,percentageData_pract2,maxTime_pract2,minTime_pract2,maxPosBar_pract2,minPosBar_pract2,Accum points 2nd practice,smoothingFactor,decayRate,percentage of bar reached_pract2,achieved_pract2,effLevel_pract2,practicetrials_2.thisRepN,practicetrials_2.thisTrialN,practicetrials_2.thisN,practicetrials_2.thisIndex,practicetrials_2.ran,Points,FeedbackText1,FeedbackText2,stimFile,effLevel,quiz_info_keys.keys,quiz_info_keys.rt,quiz_info_keys.duration,quizinfo.thisRepN,quizinfo.thisTrialN,quizinfo.thisN,quizinfo.thisIndex,quizinfo.ran,correct,response,quiz_score,next_quest.keys,next_quest.rt,next_quest.duration,instructionquiz.thisRepN,instructionquiz.thisTrialN,instructionquiz.thisN,instructionquiz.thisIndex,instructionquiz.ran,correctResp,question,resp1,resp2,resp3,main_start_keys.keys,main_start_keys.rt,main_start_keys.duration,rewRating,AnchorRewRating,AccuracyRewardRating,PossiblePointsSoFar,AccumulatedPointsSoFar,reward.response,reward.rt,login_reward.keys,login_reward.rt,login_reward.duration,effRating,AnchorEffRating,AccuracyEffortRating,slider.response,slider.rt,reactionTimes,rtPercentageData,maxTime,minTime,maxPosBar,minPosBar,Accum points main trials,percentage of bar reached,minimum RT on current trial,achieved,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,end_break.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,BlockNumber,TrialFile,TotalBlockNumber,bonusPayment,task_duration,end_key.keys,end_key.rt,end_key.duration,end.thisRepN,end.thisTrialN,end.thisN,end.thisIndex,end.ran
Please be patient as the study loads,5dec04107dfa3a2fbadd9d67,6705f1a54a55c295eac47cb5,6705f65d2207d618bff296f6,2024-10-08_23h26.27.984,RewardEffortLearning_pilot7b,2023.1.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5dec04107dfa3a2fbadd9d67,6705f1a54a55c295eac47cb5,6705f65d2207d618bff296f6,2024-10-08_23h26.27.984,RewardEffortLearning_pilot7b,2023.1.3,Win32,60.97560976,return,55.1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5dec04107dfa3a2fbadd9d67,6705f1a54a55c295eac47cb5,6705f65d2207d618bff296f6,2024-10-08_23h26.27.984,RewardEffortLearning_pilot7b,2023.1.3,Win32,60.97560976,,,,"[""return""]",[26.003300000190748],[null],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5dec04107dfa3a2fbadd9d67,6705f1a54a55c295eac47cb5,6705f65d2207d618bff296f6,2024-10-08_23h26.27.984,RewardEffortLearning_pilot7b,2023.1.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5dec04107dfa3a2fbadd9d67,6705f1a54a55c295eac47cb5,6705f65d2207d618bff296f6,2024-10-08_23h26.27.984,RewardEffortLearning_pilot7b,2023.1.3,Win32,60.97560976,,,,,,,2,2,-0.36,5.4458,13,TRUE,"[[0.9335999999046294,0.14599999999998658,0.1333000001907294,0.10019999980926286,0.11659999990462211,0.1484999999999843,0.14599999999998658,0.15000000000000568,0.166499999999985,0.05009999990463143,0.08330000019074646,0.09999999999999432,0.11249999999998295]]",[0.05009999990463143],0.0501,"[0.9335999999046294,0.14599999999998658,0.1333000001907294,0.10019999980926286,0.11659999990462211,0.1484999999999843,0.14599999999998658,0.15000000000000568,0.166499999999985,0.05009999990463143,0.08330000019074646,0.09999999999999432,0.11249999999998295]",0,0,0,0,1,25,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5dec04107dfa3a2fbadd9d67,6705f1a54a55c295eac47cb5,6705f65d2207d618bff296f6,2024-10-08_23h26.27.984,RewardEffortLearning_pilot7b,2023.1.3,Win32,60.97560976,,,,,,,2,4,-0.22,8.7876,26,TRUE,"[[0.1334000000953779,0.11690000009537016,0.09999999999999432,0.11670000028610161,0.13319999980927832,0.13370000028612594,0.146000000000015,0.12939999961852777,0.13300000000000978,0.1166999998092706,0.13389999961853505,0.15010000038145677,0.1334000000953779,0.16670000028611298,0.13319999980927832,0.08319999980926696,0.11659999990462211,0.15009999990462575,0.13320000028610934,0.18340000009536084,0.15020000028610525,0.16669999980928196,0.26680000019072736,0.08320000028609797,0.11659999990462211,2.583699999809255]]","[0.05009999990463143,0.08319999980926696]",0.0501,"[0.1334000000953779,0.11690000009537016,0.09999999999999432,0.11670000028610161,0.13319999980927832,0.13370000028612594,0.146000000000015,0.12939999961852777,0.13300000000000978,0.1166999998092706,0.13389999961853505,0.15010000038145677,0.1334000000953779,0.16670000028611298,0.13319999980927832,0.08319999980926696,0.11659999990462211,0.15009999990462575,0.13320000028610934,0.18340000009536084,0.15020000028610525,0.16669999980928196,0.26680000019072736,0.08320000028609797,0.11659999990462211,2.583699999809255]",0,1,1,1,1,50,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5dec04107dfa3a2fbadd9d67,6705f1a54a55c295eac47cb5,6705f65d2207d618bff296f6,2024-10-08_23h26.27.984,RewardEffortLearning_pilot7b,2023.1.3,Win32,60.97560976,,,,,,,0,4,0.05,10.0004,42,FALSE,"[[1.2993000001907262,0.06680000019073873,0.049899999618531865,0.050199999809279916,0.15009999990462575,0.09600000000000364,0.11640000009538198,0.08319999980926696,0.10009999990461438,0.08309999990464689,0.11290000009537948,0.11650000000000205,0.1499000000953572,0.16670000028611298,0.17890000009538198,0.13340000009534947,0.1332999997138984,0.16669999980925354,0.14949999999998909,0.15009999990462575,0.13309999990462984,0.1503000001907253,0.16680000019073304,0.16680000019073304,0.16690000009538153,0.13349999999999795,0.1334000000953779,0.14990000009538562,0.15009999990462575,0.14569999980926696,0.16669999980928196,0.18330000019074077,0.15009999990462575,0.16680000019073304,0.1332999997138984,0.15009999990462575,0.15000000000000568,0.13339999961851845,0.13340000009534947,0.15000000000000568,0.16669999980925354,0.14980000019073714]]","[0.05009999990463143,0.08319999980926696,0.049899999618531865]",0.0499,"[1.2993000001907262,0.06680000019073873,0.049899999618531865,0.050199999809279916,0.15009999990462575,0.09600000000000364,0.11640000009538198,0.08319999980926696,0.10009999990461438,0.08309999990464689,0.11290000009537948,0.11650000000000205,0.1499000000953572,0.16670000028611298,0.17890000009538198,0.13340000009534947,0.1332999997138984,0.16669999980925354,0.14949999999998909,0.15009999990462575,0.13309999990462984,0.1503000001907253,0.16680000019073304,0.16680000019073304,0.16690000009538153,0.13349999999999795,0.1334000000953779,0.14990000009538562,0.15009999990462575,0.14569999980926696,0.16669999980928196,0.18330000019074077,0.15009999990462575,0.16680000019073304,0.1332999997138984,0.15009999990462575,0.15000000000000568,0.13339999961851845,0.13340000009534947,0.15000000000000568,0.16669999980925354,0.14980000019073714]",0,2,2,2,1,100,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
