--,prolific_id,study_id,session_id,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,main_start_keys_3.keys,main_start_keys_3.rt,main_start_keys_3.duration,trial_score_pract,total_score_pract,treshold_pract,trial_duration_pract,nr_of_incr_pract,threshold_reached,time_sequence,mintime_sequence_all,mintime_pract at t,rtArray,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,practicetrials.ran,practPumps,effTresh,pract_img_keys.keys,pract_img_keys.rt,pract_img_keys.duration,reactionTimes_pract2,reactionTimesData_pract2,averageReactionTimesData_pract2,rtPercentageData_pract2,maxTime_pract2,minTime_pract2,maxPosBar_pract2,minPosBar_pract2,Accum points 2nd practice,percentage of bar reached_pract2,achieved_pract2,effLevel_pract2,practicetrials_2.thisRepN,practicetrials_2.thisTrialN,practicetrials_2.thisN,practicetrials_2.thisIndex,practicetrials_2.ran,Points,FeedbackText1,FeedbackText2,stimFile,effLevel,quiz_info_keys.keys,quiz_info_keys.rt,quiz_info_keys.duration,quizinfo.thisRepN,quizinfo.thisTrialN,quizinfo.thisN,quizinfo.thisIndex,quizinfo.ran,correct,response,quiz_score,next_quest.keys,next_quest.rt,next_quest.duration,instructionquiz.thisRepN,instructionquiz.thisTrialN,instructionquiz.thisN,instructionquiz.thisIndex,instructionquiz.ran,correctResp,question,resp1,resp2,resp3,instructionquiz_rep.thisRepN,instructionquiz_rep.thisTrialN,instructionquiz_rep.thisN,instructionquiz_rep.thisIndex,instructionquiz_rep.ran,main_start_keys.keys,main_start_keys.rt,main_start_keys.duration,rewRating,AnchorRewRating,AccuracyRewardRating,PossiblePointsSoFar,AccumulatedPointsSoFar,reward.response,reward.rt,login_reward.keys,login_reward.rt,login_reward.duration,effRating,AnchorEffRating,AccuracyEffortRating,slider.response,slider.rt,reactionTimes,reactionTimesData,averageReactionTimesData,rtPercentageData,maxTime,minTime,maxPosBar,minPosBar,Accum points main trials,percentage of bar reached,minimum RT on current trial,achieved,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,end_break.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,BlockNumber,TrialFile,TotalBlockNumber,bonusPayment,task_duration,end_key.keys,end_key.rt,end_key.duration,end.thisRepN,end.thisTrialN,end.thisN,end.thisIndex,end.ran
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h20.22.385,RewardEffortLearning_pilot7b,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h20.22.385,RewardEffortLearning_pilot7b,2023.1.3,Win32,59.52380952,return,25.7537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h20.22.385,RewardEffortLearning_pilot7b,2023.1.3,Win32,59.52380952,,,,"[""return""]",[10.805100000023856],[null],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h20.22.385,RewardEffortLearning_pilot7b,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h20.22.385,RewardEffortLearning_pilot7b,2023.1.3,Win32,59.52380952,,,,,,,2,2,-0.36,6.8988,13,TRUE,"[[0.1838000000715283,0.20070000004767508,0.10010000002387187,0.05019999992850899,0.06720000004770554,0.11679999995232038,0.10020000004766416,0.2672999999522858,0.10060000002386005,0.08369999992851263,0.2506000000238373,0.2842999999522817,0.26779999995233084]]",[0.05019999992850899],0.0502,"[0.1838000000715283,0.20070000004767508,0.10010000002387187,0.05019999992850899,0.06720000004770554,0.11679999995232038,0.10020000004766416,0.2672999999522858,0.10060000002386005,0.08369999992851263,0.2506000000238373,0.2842999999522817,0.26779999995233084]",0,0,0,0,1,25,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h20.22.385,RewardEffortLearning_pilot7b,2023.1.3,Win32,59.52380952,,,,,,,,2,-0.22,10.0004,22,FALSE,"[[2.7247999999523245,0.5518000000715233,0.1506999999285199,0.09800000000001319,0.06669999992851672,0.08370000004771327,0.11700000000001864,0.08379999995230492,0.06720000004770554,0.06680000007150966,0.06660000002386823,0.2342999999523272,0.10020000004766416,0.2673000000715433,0.23430000007152785,0.2342000000476787,0.06579999995233266,0.26760000002389006,0.1003000000715133,0.2511000000238255,0.2343999999761195,0.06689999997615814]]","[0.05019999992850899,0.06579999995233266]",0.0502,"[2.7247999999523245,0.5518000000715233,0.1506999999285199,0.09800000000001319,0.06669999992851672,0.08370000004771327,0.11700000000001864,0.08379999995230492,0.06720000004770554,0.06680000007150966,0.06660000002386823,0.2342999999523272,0.10020000004766416,0.2673000000715433,0.23430000007152785,0.2342000000476787,0.06579999995233266,0.26760000002389006,0.1003000000715133,0.2511000000238255,0.2343999999761195,0.06689999997615814]",0,1,1,1,1,50,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h20.22.385,RewardEffortLearning_pilot7b,2023.1.3,Win32,59.52380952,,,,,,,,2,0.05,10.0005,20,FALSE,"[[0.6588999999761427,1.6458000000715174,0.2761000000238596,0.08349999999995816,0.10669999992848034,0.10039999997616178,0.09180000007154376,0.09650000000004866,0.09239999997618042,0.09179999995228627,0.2342000000476787,0.2162000000476496,0.08379999995236176,0.07510000002383777,0.4012000000477087,0.08310000002387596,0.058599999904629385,0.12179999995231583,0.10050000000001091,0.115299999952299]]","[0.05019999992850899,0.06579999995233266,0.058599999904629385]",0.0502,"[0.6588999999761427,1.6458000000715174,0.2761000000238596,0.08349999999995816,0.10669999992848034,0.10039999997616178,0.09180000007154376,0.09650000000004866,0.09239999997618042,0.09179999995228627,0.2342000000476787,0.2162000000476496,0.08379999995236176,0.07510000002383777,0.4012000000477087,0.08310000002387596,0.058599999904629385,0.12179999995231583,0.10050000000001091,0.115299999952299]",0,2,2,2,1,100,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,644f255ec4f58fe559261911,66d895541319693e0a3a3141,66db1c95c39e2b3273cbdc51,2024-09-06_11h20.22.385,RewardEffortLearning_pilot7b,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,"[""return""]",[9.406399999976202],[null],"[{""time"":328.82569999992853,""reactionTime"":1},{""time"":329.32750000000004,""reactionTime"":1},{""time"":329.8291999999285,""reactionTime"":1},{""time"":330.3386999999285,""reactionTime"":1},{""time"":330.84019999992853,""reactionTime"":1},{""time"":331.0331999999285,""reactionTime"":2.7191999999284917},{""time"":331.51069999992853,""reactionTime"":0.10959999990467395},{""time"":332.01319999992853,""reactionTime"":0.09309999990466622},{""time"":332.5388999999762,""reactionTime"":0.05870000004767917},{""time"":332.6981000000239,""reactionTime"":0.08610000002386187},{""time"":333.17900000000003,""reactionTime"":0.23030000007150875},{""time"":333.55119999992854,""reactionTime"":0.2681999999285267},{""time"":333.8766999999285,""reactionTime"":0.258199999928479},{""time"":334.23669999992853,""reactionTime"":0.24279999995235357},{""time"":334.5206000000239,""reactionTime"":0.20030000007153603},{""time"":335.0358999999762,""reactionTime"":1},{""time"":335.54010000002387,""reactionTime"":1},{""time"":336.04179999995233,""reactionTime"":1},{""time"":336.5441000000239,""reactionTime"":1},{""time"":337.0618999999762,""reactionTime"":1},{""time"":337.5728999999762,""reactionTime"":1},{""time"":338.08229999995234,""reactionTime"":1}]","[2.7191999999284917,0.10959999990467395,0.09309999990466622,0.05870000004767917,0.08610000002386187,0.23030000007150875,0.2681999999285267,0.258199999928479,0.24279999995235357,0.20030000007153603]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,1.8595999999642459,2.7191999999284917,2.7191999999284917,2.7191999999284917,2.7191999999284917,2.7191999999284917,2.7191999999284917,2.7191999999284917,2.7191999999284917,2.7191999999284917,1.4143999999165828,1.4143999999165828,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.10959999990467395,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.09309999990466622,0.05870000004767917,0.05870000004767917,0.05870000004767917,0.05870000004767917,0.05870000004767917,0.05870000004767917,0.05870000004767917,0.05870000004767917,0.05870000004767917,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.07240000003577052,0.08610000002386187,0.08610000002386187,0.08610000002386187,0.08610000002386187,0.08610000002386187,0.08610000002386187,0.08610000002386187,0.08610000002386187,0.1582000000476853,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.23030000007150875,0.24925000000001774,0.24925000000001774,0.24925000000001774,0.24925000000001774,0.24925000000001774,0.24925000000001774,0.24925000000001774,0.24925000000001774,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.2681999999285267,0.26319999992850285,0.26319999992850285,0.26319999992850285,0.26319999992850285,0.26319999992850285,0.26319999992850285,0.26319999992850285,0.26319999992850285,0.26319999992850285,0.26319999992850285,0.26319999992850285,0.258199999928479,0.258199999928479,0.258199999928479,0.258199999928479,0.258199999928479,0.258199999928479,0.258199999928479,0.258199999928479,0.258199999928479,0.258199999928479,0.2504999999404163,0.2504999999404163,0.2504999999404163,0.2504999999404163,0.2504999999404163,0.2504999999404163,0.2504999999404163,0.2504999999404163,0.2504999999404163,0.24279999995235357,0.24279999995235357,0.24279999995235357,0.24279999995235357,0.24279999995235357,0.24279999995235357,0.24279999995235357,0.24279999995235357,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.2215500000119448,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,0.20030000007153603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,93.74605180335924,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,95.48325963645735,99.10507474009998,99.10507474009998,99.10507474009998,99.10507474009998,99.10507474009998,99.10507474009998,99.10507474009998,99.10507474009998,99.10507474009998,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,97.66266581326694,96.2202568864339,96.2202568864339,96.2202568864339,96.2202568864339,96.2202568864339,96.2202568864339,96.2202568864339,96.2202568864339,88.62918507990659,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,81.03811327337927,79.0429564059248,79.0429564059248,79.0429564059248,79.0429564059248,79.0429564059248,79.0429564059248,79.0429564059248,79.0429564059248,77.04779953847031,77.04779953847031,77.04779953847031,77.04779953847031,77.04779953847031,77.04779953847031,77.04779953847031,77.04779953847031,77.04779953847031,77.04779953847031,77.04779953847031,77.04779953847031,77.57422615456291,77.57422615456291,77.57422615456291,77.57422615456291,77.57422615456291,77.57422615456291,77.57422615456291,77.57422615456291,77.57422615456291,77.57422615456291,77.57422615456291,78.10065277065551,78.10065277065551,78.10065277065551,78.10065277065551,78.10065277065551,78.10065277065551,78.10065277065551,78.10065277065551,78.10065277065551,78.10065277065551,78.91134975817742,78.91134975817742,78.91134975817742,78.91134975817742,78.91134975817742,78.91134975817742,78.91134975817742,78.91134975817742,78.91134975817742,79.72204674569934,79.72204674569934,79.72204674569934,79.72204674569934,79.72204674569934,79.72204674569934,79.72204674569934,79.72204674569934,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,81.95935985780814,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,84.19667296991692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",1,0.0502,0.05,-0.5,0,33.78136243,FALSE,75,0,0,0,0,1,1,"You reached the planet, you get 1 ruby!",You did not have enough fuel to reach the planet and missed 1 ruby!,stim/image1.png,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
