--,prolific_id,study_id,session_id,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,main_start_keys_3.keys,main_start_keys_3.rt,main_start_keys_3.duration,trial_score_pract,total_score_pract,treshold_pract,trial_duration_pract,nr_of_incr_pract,threshold_reached,time_sequence,mintime_sequence_all,mintime_pract at t,rtArray,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,practicetrials.ran,practPumps,effTresh,pract_img_keys.keys,pract_img_keys.rt,pract_img_keys.duration,reactionTimes_pract2,reactionTimesData_pract2,averageReactionTimesData_pract2,rtPercentageData_pract2,maxTime_pract2,minTime_pract2,maxPosBar_pract2,minPosBar_pract2,Accum points 2nd practice,percentage of bar reached_pract2,achieved_pract2,effLevel_pract2,practicetrials_2.thisRepN,practicetrials_2.thisTrialN,practicetrials_2.thisN,practicetrials_2.thisIndex,practicetrials_2.ran,Points,FeedbackText1,FeedbackText2,stimFile,effLevel,quiz_info_keys.keys,quiz_info_keys.rt,quiz_info_keys.duration,quizinfo.thisRepN,quizinfo.thisTrialN,quizinfo.thisN,quizinfo.thisIndex,quizinfo.ran,correct,response,quiz_score,next_quest.keys,next_quest.rt,next_quest.duration,instructionquiz.thisRepN,instructionquiz.thisTrialN,instructionquiz.thisN,instructionquiz.thisIndex,instructionquiz.ran,correctResp,question,resp1,resp2,resp3,main_start_keys.keys,main_start_keys.rt,main_start_keys.duration,rewRating,AnchorRewRating,AccuracyRewardRating,PossiblePointsSoFar,AccumulatedPointsSoFar,reward.response,reward.rt,login_reward.keys,login_reward.rt,login_reward.duration,effRating,AnchorEffRating,AccuracyEffortRating,slider.response,slider.rt,reactionTimes,reactionTimesData,averageReactionTimesData,rtPercentageData,maxTime,minTime,maxPosBar,minPosBar,Accum points main trials,percentage of bar reached,minimum RT on current trial,achieved,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,end_break.keys,end_break.rt,end_break.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,BlockNumber,TrialFile,TotalBlockNumber,bonusPayment,task_duration,end_key.keys,end_key.rt,end_key.duration,end.thisRepN,end.thisTrialN,end.thisN,end.thisIndex,end.ran
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""time"":420.3652000000477,""reactionTime"":1},{""time"":421.1052999999523,""reactionTime"":1},{""time"":422.57939999985695,""reactionTime"":1},{""time"":423.31559999990463,""reactionTime"":1.474099999904638},{""time"":424.047399999857,""reactionTime"":1},{""time"":424.9007000000478,""reactionTime"":1},{""time"":426.38729999995235,""reactionTime"":0.7387999999523345},{""time"":427.124399999857,""reactionTime"":1},{""time"":427.85909999990463,""reactionTime"":1},{""time"":428.5905999999047,""reactionTime"":1},{""time"":429.3227999999524,""reactionTime"":1},{""time"":430.090399999857,""reactionTime"":1},{""time"":430.93000000000006,""reactionTime"":1},{""time"":432.3937999999523,""reactionTime"":0.73470000004761}]","[1.474099999904638,0.7387999999523345,0.73470000004761]","[1,1,1,1.474099999904638,1,1,0.7387999999523345,1,1,1,1,1,1,0.73470000004761]","[0,0,0,0,95.4329558749563,0,0,0,0,0,0,96.93094634173842]",1,0.7263,0.05,-0.5,0,16.03032518,FALSE,50,0,3,3,3,1,3,"You reached the planet,  you get 2 rubies!",You did not have enough fuel to reach the planet and missed 2 rubies!,stim/image2.png,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""return""]",[5.558399999856874],[0.00020000004769826774],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""return""]",[7.383800000190718],[0.00039999985699523677],1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,3,1,"[""return""]",[7.730200000047603],[null],0,0,0,0,1,3,How do you control your spaceship to reach each planet?,1. Press the 'z' and 'p' keys as fast as I can - energy waste does not matter.,2. Only press the 'z' key – that's how you move the spaceship.  ,3. Use the 'z' and 'p' keys to carefully fill the fuel tank close to the true threshold.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,2,2,"[""return""]",[0.5705999999047435],[null],0,1,1,2,1,2,"Throughout the game, what will change that you need to pay attention to?",1. Only the number of rubies on each planet.,2. Both the fuel needed to reach a planet and the number of rubies you can find there.,3. Only how much fuel it takes to reach each planet. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,2,3,"[""return""]",[0.5705000000000382],[null],0,2,2,1,1,2,"If a planet has a huge pile of rubies, that means…",1. It will need a lot of fuel to reach it.,2. The number of rubies has nothing to do with how much fuel it takes to get there.,3. It will likely be easy and quick to travel there. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,1,4,"[""return""]",[0.5732999999524964],[0.000299999952176222],0,3,3,3,1,1,"Throughout the game, does it make sense to always indicate the maximum amount of fuel?","1. No, I should adjust the fuel indication to match the true threshold. Maxing out could drain my energy before the game ends.","2. Yes, indicating the maximum is always advantageous.",3. It does not matter how much fuel I indicate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""return""]",[1.627099999904658],[0.000299999952176222],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"You reached the planet, you get 2 rubies!",You did not have enough fuel to reach the planet and missed 2 rubies!,stim/image2.png,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,0,,,"[""return""]",[19.67340000009517],[0.00019999980941065587],80,100,0,,,"[{""time"":617.1188999998568,""reactionTime"":1},{""time"":618.4149999999998,""reactionTime"":1},{""time"":619.1545999999045,""reactionTime"":1},{""time"":619.8892999999522,""reactionTime"":1},{""time"":620.7239999999998,""reactionTime"":1},{""time"":621.5812000000477,""reactionTime"":1},{""time"":622.3334999999998,""reactionTime"":1},{""time"":623.0682000000476,""reactionTime"":1},{""time"":623.8390999999045,""reactionTime"":1},{""time"":624.6149999999999,""reactionTime"":1},{""time"":625.3797999999523,""reactionTime"":1},{""time"":626.1338999998569,""reactionTime"":1},{""time"":626.871,""reactionTime"":1},{""time"":627.6267999999521,""reactionTime"":1},{""time"":628.3713999998569,""reactionTime"":1},{""time"":629.8722999999524,""reactionTime"":0.7550000000001091},{""time"":630.6114999999999,""reactionTime"":1},{""time"":631.3527000000475,""reactionTime"":1},{""time"":632.8457000000477,""reactionTime"":1},{""time"":633.5969999999999,""reactionTime"":1.4932000000476364},{""time"":634.4713999998568,""reactionTime"":1},{""time"":636.0818999998568,""reactionTime"":0.8644999999999072},{""time"":636.8260999999046,""reactionTime"":1},{""time"":637.5612000000475,""reactionTime"":1},{""time"":638.3023999998569,""reactionTime"":1},{""time"":639.0443999998569,""reactionTime"":1}]","[0.7550000000001091,1.4932000000476364,0.8644999999999072]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7550000000001091,1,1,1,1.4932000000476364,1,0.8644999999999072,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.08602147086967,0,0,0,0,0,52.03533024211121,0,0,0,0]",1,0.7396,0.05,-0.5,0,5.844854069,0.755,FALSE,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"You reached the planet, you get 2 rubies!",You did not have enough fuel to reach the planet and missed 2 rubies!,stim/image2.png,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,4,0,,,,,,60,60,0,,,"[{""time"":644.2322999999523,""reactionTime"":1},{""time"":645.1132000000476,""reactionTime"":1},{""time"":646.5775999999045,""reactionTime"":0.7307999999522963},{""time"":647.3285,""reactionTime"":1},{""time"":648.0688999998569,""reactionTime"":1},{""time"":648.8022000000477,""reactionTime"":1},{""time"":649.5357000000475,""reactionTime"":1},{""time"":650.2708999998569,""reactionTime"":1},{""time"":651.1247999999522,""reactionTime"":1},{""time"":652.5922000000477,""reactionTime"":1},{""time"":653.3417000000476,""reactionTime"":1.479300000190733},{""time"":654.2177000000476,""reactionTime"":1},{""time"":655.8314999999999,""reactionTime"":1},{""time"":656.5710999999045,""reactionTime"":1.4890000000000327}]","[0.7307999999522963,1.479300000190733,1.4890000000000327]","[1,1,0.7307999999522963,1,1,1,1,1,1,1,1.479300000190733,1,1,1.4890000000000327]","[100,0,0,0,0,0,0,0,0,0,0,0]",1,0.7396,0.05,-0.5,0,8.333333333,0.7308,FALSE,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,1,4,0,,,"[""return"",""return""]","[1.6189999999999145,10.225900000095407]","[0.00030000019069120754,0.00020000004747089406]",45,35,0,,,"[{""time"":716.6954999999999,""reactionTime"":1},{""time"":717.4292000000477,""reactionTime"":1},{""time"":718.1595999999046,""reactionTime"":1},{""time"":718.9010999999047,""reactionTime"":1},{""time"":719.622,""reactionTime"":1},{""time"":720.36,""reactionTime"":1},{""time"":721.8572000000476,""reactionTime"":1},{""time"":722.6077999999521,""reactionTime"":1.5047000000474782},{""time"":724.0987999999523,""reactionTime"":0.749900000095522},{""time"":725.5924999999999,""reactionTime"":0.7506000001428674},{""time"":726.3477999999521,""reactionTime"":1},{""time"":727.0834999999998,""reactionTime"":1},{""time"":727.8375,""reactionTime"":1},{""time"":728.5675,""reactionTime"":1},{""time"":730.0562000000476,""reactionTime"":1},{""time"":730.8088999998569,""reactionTime"":1},{""time"":731.552,""reactionTime"":1}]","[1.5047000000474782,0.749900000095522,0.7506000001428674]","[1,1,1,1,1,1,1,1.5047000000474782,0.749900000095522,0.7506000001428674,1,1,1,1,1,1,1]","[0,0,0,0,0,0,92.9049033655865,92.64487363036312,0,0,0,0,0,0,0]",1,0.7308,0.05,-0.5,0,12.36998513,0.7499,FALSE,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,6547bf8012d4702680d55663,66d895541319693e0a3a3141,66db1c8970bf01cc20c4fece,2024-09-06_10h30.03.678,RewardEffortLearning_pilot7b,2023.1.3,Win32,2.406738869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,4,0,,,,,,40,40,0,,,"[{""time"":735.8344999999998,""reactionTime"":1},{""time"":737.3215999999046,""reactionTime"":1},{""time"":738.0662000000476,""reactionTime"":1.5084000000954347},{""time"":738.8152999999523,""reactionTime"":1},{""time"":740.304899999857,""reactionTime"":1},{""time"":741.0472000000476,""reactionTime"":1.4903000001907003},{""time"":741.8098999998568,""reactionTime"":1},{""time"":742.5537999999523,""reactionTime"":1},{""time"":744.069399999857,""reactionTime"":0.7580999999047435},{""time"":744.814,""reactionTime"":1},{""time"":745.5547999999523,""reactionTime"":1},{""time"":747.1768999998568,""reactionTime"":0.8720999999045489}]","[1.5084000000954347,1.4903000001907003,0.7580999999047435,0.8720999999045489]","[1,1,1.5084000000954347,1,1,1.4903000001907003,1,1,0.7580999999047435,1,1,0.8720999999045489]","[0,0,0,0,0,0,0,89.85884102986273,0,0,47.51114415779588]",1,0.7308,0.05,-0.5,0,12.48818047,0.7581,FALSE,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,
