--,prolific_id,study_id,session_id,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,main_start_keys_3.keys,main_start_keys_3.rt,main_start_keys_3.duration,trial_score_pract,total_score_pract,treshold_pract,trial_duration_pract,nr_of_incr_pract,threshold_reached,time_sequence,mintime_sequence_all,mintime_pract at t,rtArray,practicetrials.thisRepN,practicetrials.thisTrialN,practicetrials.thisN,practicetrials.thisIndex,practicetrials.ran,practPumps,effTresh,pract_img_keys.keys,pract_img_keys.rt,pract_img_keys.duration,reactionTimes_pract2,reactionTimesData_pract2,averageReactionTimesData_pract2,rtPercentageData_pract2,maxTime_pract2,minTime_pract2,maxPosBar_pract2,minPosBar_pract2,Accum points 2nd practice,percentage of bar reached_pract2,achieved_pract2,effLevel_pract2,practicetrials_2.thisRepN,practicetrials_2.thisTrialN,practicetrials_2.thisN,practicetrials_2.thisIndex,practicetrials_2.ran,Points,FeedbackText1,FeedbackText2,stimFile,effLevel,quiz_info_keys.keys,quiz_info_keys.rt,quiz_info_keys.duration,quizinfo.thisRepN,quizinfo.thisTrialN,quizinfo.thisN,quizinfo.thisIndex,quizinfo.ran,correct,response,quiz_score,next_quest.keys,next_quest.rt,next_quest.duration,instructionquiz.thisRepN,instructionquiz.thisTrialN,instructionquiz.thisN,instructionquiz.thisIndex,instructionquiz.ran,correctResp,question,resp1,resp2,resp3,main_start_keys.keys,main_start_keys.rt,main_start_keys.duration,rewRating,AnchorRewRating,AccuracyRewardRating,PossiblePointsSoFar,AccumulatedPointsSoFar,reward.response,reward.rt,login_reward.keys,login_reward.rt,login_reward.duration,effRating,AnchorEffRating,AccuracyEffortRating,slider.response,slider.rt,reactionTimes,reactionTimesData,averageReactionTimesData,rtPercentageData,maxTime,minTime,maxPosBar,minPosBar,Accum points main trials,percentage of bar reached,minimum RT on current trial,achieved,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,end_break.keys,end_break.rt,end_break.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,BlockNumber,TrialFile,TotalBlockNumber,bonusPayment,task_duration,end_key.keys,end_key.rt,end_key.duration,end.thisRepN,end.thisTrialN,end.thisN,end.thisIndex,end.ran
Please be patient as the study loads,5d74001d391b6600175f433b,66d895541319693e0a3a3141,66db1c6cb1410721a6ab0b29,2024-09-06_08h30.35.989,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5d74001d391b6600175f433b,66d895541319693e0a3a3141,66db1c6cb1410721a6ab0b29,2024-09-06_08h30.35.989,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,30.3030303,return,1.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5d74001d391b6600175f433b,66d895541319693e0a3a3141,66db1c6cb1410721a6ab0b29,2024-09-06_08h30.35.989,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,30.3030303,,,,"[""return""]",[1.8339999999999996],[null],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5d74001d391b6600175f433b,66d895541319693e0a3a3141,66db1c6cb1410721a6ab0b29,2024-09-06_08h30.35.989,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5d74001d391b6600175f433b,66d895541319693e0a3a3141,66db1c6cb1410721a6ab0b29,2024-09-06_08h30.35.989,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,30.3030303,,,,,,,2,2,-0.36,3.158,13,TRUE,"[[0.10099999999999909,0.10000000000000853,0.13500000000000512,0.09899999999998954,0.0660000000000025,0.09999999999999432,0.09899999999998954,0.06699999999999307,0.033999999999991815,0.06500000000001194,0.10000000000000853,0.06699999999999307,0.0660000000000025]]",[0.033999999999991815],0.034,"[0.10099999999999909,0.10000000000000853,0.13500000000000512,0.09899999999998954,0.0660000000000025,0.09999999999999432,0.09899999999998954,0.06699999999999307,0.033999999999991815,0.06500000000001194,0.10000000000000853,0.06699999999999307,0.0660000000000025]",0,0,0,0,1,25,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5d74001d391b6600175f433b,66d895541319693e0a3a3141,66db1c6cb1410721a6ab0b29,2024-09-06_08h30.35.989,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,30.3030303,,,,,,,2,4,-0.22,4.831,26,TRUE,"[[0.1010000000000133,0.10000000000000853,0.10000000000000853,0.1010000000000133,0.06799999999999784,0.0660000000000025,0.0660000000000025,0.10099999999999909,0.06700000000000728,0.03300000000000125,0.03300000000000125,0.09999999999999432,0.09999999999999432,0.13299999999999557,0.13299999999999557,0.132000000000005,0.13299999999999557,0.13400000000000034,0.09999999999999432,0.10000000000000853,0.1010000000000133,0.10200000000000387,0.06700000000000728,0.10000000000000853,0.1319999999999908,0.06700000000000728]]","[0.033999999999991815,0.03300000000000125]",0.033,"[0.1010000000000133,0.10000000000000853,0.10000000000000853,0.1010000000000133,0.06799999999999784,0.0660000000000025,0.0660000000000025,0.10099999999999909,0.06700000000000728,0.03300000000000125,0.03300000000000125,0.09999999999999432,0.09999999999999432,0.13299999999999557,0.13299999999999557,0.132000000000005,0.13299999999999557,0.13400000000000034,0.09999999999999432,0.10000000000000853,0.1010000000000133,0.10200000000000387,0.06700000000000728,0.10000000000000853,0.1319999999999908,0.06700000000000728]",0,1,1,1,1,50,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5d74001d391b6600175f433b,66d895541319693e0a3a3141,66db1c6cb1410721a6ab0b29,2024-09-06_08h30.35.989,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,30.3030303,,,,,,,2,6,0.05,9.532,50,TRUE,"[[0.09900000000000375,0.13300000000000978,0.09899999999998954,0.09999999999999432,0.13300000000000978,0.10000000000002274,0.09999999999999432,0.10000000000002274,0.10000000000002274,0.09900000000001796,0.132000000000005,0.13300000000000978,0.06699999999997885,0.10000000000002274,0.10000000000002274,0.13399999999998613,0.09899999999997533,0.10099999999999909,0.09999999999999432,0.13399999999998613,0.09999999999999432,0.06700000000000728,0.06700000000000728,0.0660000000000025,0.10099999999999909,0.13300000000000978,0.09999999999999432,0.132000000000005,0.16599999999999682,0.13399999999998613,0.06799999999998363,0.06699999999997885,0.09999999999999432,0.09999999999999432,0.10099999999999909,0.09899999999998954,0.09900000000001796,0.10099999999999909,0.09999999999999432,0.09999999999999432,0.09799999999998477,0.09999999999999432,0.06700000000000728,0.10000000000002274,0.13399999999998613,0.06699999999997885,0.09999999999999432,0.09999999999999432,0.06700000000000728,0.09999999999999432]]","[0.033999999999991815,0.03300000000000125,0.0660000000000025]",0.033,"[0.09900000000000375,0.13300000000000978,0.09899999999998954,0.09999999999999432,0.13300000000000978,0.10000000000002274,0.09999999999999432,0.10000000000002274,0.10000000000002274,0.09900000000001796,0.132000000000005,0.13300000000000978,0.06699999999997885,0.10000000000002274,0.10000000000002274,0.13399999999998613,0.09899999999997533,0.10099999999999909,0.09999999999999432,0.13399999999998613,0.09999999999999432,0.06700000000000728,0.06700000000000728,0.0660000000000025,0.10099999999999909,0.13300000000000978,0.09999999999999432,0.132000000000005,0.16599999999999682,0.13399999999998613,0.06799999999998363,0.06699999999997885,0.09999999999999432,0.09999999999999432,0.10099999999999909,0.09899999999998954,0.09900000000001796,0.10099999999999909,0.09999999999999432,0.09999999999999432,0.09799999999998477,0.09999999999999432,0.06700000000000728,0.10000000000002274,0.13399999999998613,0.06699999999997885,0.09999999999999432,0.09999999999999432,0.06700000000000728,0.09999999999999432]",0,2,2,2,1,100,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please be patient as the study loads,5d74001d391b6600175f433b,66d895541319693e0a3a3141,66db1c6cb1410721a6ab0b29,2024-09-06_08h30.35.989,RewardEffortLearning_pilot7b,2023.1.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,"[""return""]",[75.42200000000003],[null],"[{""time"":351.632,""reactionTime"":1},{""time"":351.866,""reactionTime"":0.757000000000005},{""time"":352.099,""reactionTime"":0.13299999999998136},{""time"":352.59999999999997,""reactionTime"":1},{""time"":352.86699999999996,""reactionTime"":0.033999999999991815},{""time"":353.03299999999996,""reactionTime"":0.033999999999991815},{""time"":353.433,""reactionTime"":0.10000000000002274},{""time"":353.599,""reactionTime"":0.06600000000003092},{""time"":353.76599999999996,""reactionTime"":0.06700000000000728},{""time"":353.933,""reactionTime"":0.10000000000002274},{""time"":354.066,""reactionTime"":0.06700000000000728},{""time"":354.233,""reactionTime"":0.09900000000004638},{""time"":354.39899999999994,""reactionTime"":0.0999999999999659},{""time"":354.966,""reactionTime"":1},{""time"":355.067,""reactionTime"":0.6009999999999991},{""time"":355.233,""reactionTime"":0.03300000000001546},{""time"":355.733,""reactionTime"":0.36700000000001864},{""time"":355.966,""reactionTime"":0.06700000000006412},{""time"":356.09999999999997,""reactionTime"":0.06700000000000728},{""time"":356.26599999999996,""reactionTime"":0.06599999999997408},{""time"":356.5,""reactionTime"":0.16700000000003},{""time"":356.7,""reactionTime"":0.033999999999991815},{""time"":356.966,""reactionTime"":0.03400000000004866},{""time"":357.433,""reactionTime"":0.06700000000000728},{""time"":357.89899999999994,""reactionTime"":0.0999999999999659},{""time"":358.2,""reactionTime"":0.13400000000001455},{""time"":358.566,""reactionTime"":0.0999999999999659},{""time"":358.666,""reactionTime"":0.06600000000003092},{""time"":359.066,""reactionTime"":0.06700000000000728},{""time"":359.233,""reactionTime"":0.10000000000002274},{""time"":359.49899999999997,""reactionTime"":0.09899999999998954},{""time"":359.633,""reactionTime"":0.03300000000001546},{""time"":359.79999999999995,""reactionTime"":0.06699999999995043},{""time"":360.166,""reactionTime"":0.132000000000005},{""time"":360.33299999999997,""reactionTime"":0.0999999999999659},{""time"":360.466,""reactionTime"":0.09900000000004638},{""time"":360.599,""reactionTime"":0.06600000000003092},{""time"":360.76599999999996,""reactionTime"":0.03299999999995862},{""time"":360.89899999999994,""reactionTime"":0.03299999999995862},{""time"":361.066,""reactionTime"":0.06599999999997408}]","[0.757000000000005,0.13299999999998136,0.033999999999991815,0.033999999999991815,0.10000000000002274,0.06600000000003092,0.06700000000000728,0.10000000000002274,0.06700000000000728,0.09900000000004638,0.0999999999999659,0.6009999999999991,0.03300000000001546,0.36700000000001864,0.06700000000006412,0.06700000000000728,0.06599999999997408,0.16700000000003,0.033999999999991815,0.03400000000004866,0.06700000000000728,0.0999999999999659,0.13400000000001455,0.0999999999999659,0.06600000000003092,0.06700000000000728,0.10000000000002274,0.09899999999998954,0.03300000000001546,0.06699999999995043,0.132000000000005,0.0999999999999659,0.09900000000004638,0.06600000000003092,0.03299999999995862,0.03299999999995862,0.06599999999997408]","[1,1,1,1,1,1,1,0.8785000000000025,0.8785000000000025,0.8785000000000025,0.8785000000000025,0.8785000000000025,0.8785000000000025,0.8785000000000025,0.6299999999999955,0.4449999999999932,0.4449999999999932,0.4449999999999932,0.4449999999999932,0.4449999999999932,0.4449999999999932,0.4449999999999932,0.4449999999999932,0.13299999999998136,0.13299999999998136,0.13299999999998136,0.13299999999998136,0.13299999999998136,0.13299999999998136,1,1,1,1,1,1,1,1,0.5169999999999959,0.5169999999999959,0.5169999999999959,0.5169999999999959,0.5169999999999959,0.35599999999999454,0.35599999999999454,0.35599999999999454,0.033999999999991815,0.033999999999991815,0.033999999999991815,0.033999999999991815,0.033999999999991815,0.033999999999991815,0.033999999999991815,0.033999999999991815,0.033999999999991815,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.10000000000002274,0.08300000000002683,0.08300000000002683,0.08300000000002683,0.08300000000002683,0.08300000000002683,0.07766666666668698,0.07766666666668698,0.07766666666668698,0.07766666666668698,0.07766666666668698,0.08325000000002092,0.07766666666668698,0.07766666666668698,0.07766666666668698,0.07500000000001705,0.07500000000001705,0.07800000000001243,0.07800000000001243,0.07800000000001243,0.08325000000002092,0.08325000000002092,0.08866666666669214,0.08866666666669214,0.08866666666669214,0.09150000000001057,0.09150000000001057,0.08866666666667318,0.08866666666667318,0.08866666666667318,0.08866666666667318,0.09950000000000614,0.09950000000000614,0.09950000000000614,0.09950000000000614,0.09950000000000614,0.0999999999999659,0.0999999999999659,0.0999999999999659,0.0999999999999659,0.0999999999999659,1,1,1,0.8004999999999995,0.8004999999999995,0.8004999999999995,0.8004999999999995,0.8004999999999995,0.5446666666666715,0.5446666666666715,0.5446666666666715,0.5446666666666715,0.5446666666666715,0.5446666666666715,0.5446666666666715,0.5446666666666715,0.3170000000000073,0.3170000000000073,0.3170000000000073,0.03300000000001546,0.03300000000001546,0.03300000000001546,0.03300000000001546,0.20000000000001705,0.36700000000001864,0.36700000000001864,0.36700000000001864,0.36700000000001864,0.36700000000001864,0.36700000000001864,0.21700000000004138,0.21700000000004138,0.21700000000004138,0.21700000000004138,0.16700000000003,0.16700000000003,0.16700000000003,0.16700000000003,0.16700000000003,0.06666666666668182,0.06666666666668182,0.06666666666668182,0.06666666666668182,0.06666666666668182,0.06666666666668182,0.06666666666668182,0.1000000000000038,0.1000000000000038,0.1000000000000038,0.1000000000000038,0.11650000000000205,0.11650000000000205,0.08899999999999864,0.08899999999999864,0.08899999999999864,0.10050000000001091,0.10050000000001091,0.10050000000001091,0.10050000000001091,0.10050000000001091,0.07833333333335683,0.07833333333335683,0.034000000000020236,0.034000000000020236,0.034000000000020236,0.034000000000020236,0.034000000000020236,0.034000000000020236,0.03400000000004866,0.03400000000004866,0.03400000000004866,0.03400000000004866,0.03400000000004866,0.03400000000004866,0.05050000000002797,0.05050000000002797,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.06700000000000728,0.08349999999998658,0.08349999999998658,0.0999999999999659,0.0999999999999659,0.0999999999999659,0.0999999999999659,0.0999999999999659,0.0999999999999659,0.0999999999999659,0.11699999999999022,0.11699999999999022,0.11699999999999022,0.11699999999999022,0.11699999999999022,0.11699999999999022,0.13400000000001455,0.13400000000001455,0.13400000000001455,0.13400000000001455,0.13400000000001455,0.11699999999999022,0.11699999999999022,0.11699999999999022,0.1000000000000038,0.1000000000000038,0.08299999999999841,0.08299999999999841,0.08299999999999841,0.08299999999999841,0.08299999999999841,0.08299999999999841,0.08299999999999841,0.08299999999999841,0.08299999999999841,0.08299999999999841,0.07766666666666804,0.0665000000000191,0.0665000000000191,0.0665000000000191,0.06700000000000728,0.083500000000015,0.083500000000015,0.083500000000015,0.083500000000015,0.083500000000015,0.083500000000015,0.083500000000015,0.083500000000015,0.08866666666667318,0.08866666666667318,0.08866666666667318,0.09950000000000614,0.07733333333334258,0.07733333333334258,0.07733333333334258,0.07733333333334258,0.0660000000000025,0.06633333333331848,0.06633333333331848,0.06633333333331848,0.06633333333331848,0.06633333333331848,0.06633333333331848,0.06633333333331848,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.04999999999998295,0.09949999999997772,0.09949999999997772,0.09949999999997772,0.09949999999997772,0.09949999999997772,0.11599999999998545,0.11599999999998545,0.11599999999998545,0.11599999999998545,0.1103333333333391,0.1103333333333391,0.1103333333333391,0.1103333333333391,0.09925000000001205,0.09925000000001205,0.09925000000001205,0.08833333333334774,0.08833333333334774,0.07450000000000045,0.07450000000000045,0.07450000000000045,0.06600000000001198,0.057749999999998636,0.057749999999998636,0.057749999999998636,0.04399999999998272,0.04399999999998272,0.04949999999998056,0.04399999999996377,0.04399999999996377]","[57.394002068253116,57.394002068253116,57.394002068253116,57.394002068253116,57.394002068253116,57.394002068253116,57.394002068253116,57.394002068253116,89.6587383660827,89.6587383660827,89.6587383660827,89.6587383660827,89.6587383660827,89.6587383660827,0,0,0,0,0,0,0,0,49.94829369183089,49.94829369183089,49.94829369183089,49.94829369183089,49.94829369183089,66.59772492244119,66.59772492244119,66.59772492244119,99.89658738366178,99.89658738366178,99.89658738366178,99.89658738366178,99.89658738366178,99.89658738366178,99.89658738366178,99.89658738366178,99.89658738366178,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,93.07135470527182,94.82936918303768,94.82936918303768,94.82936918303768,94.82936918303768,94.82936918303768,95.38090313684738,95.38090313684738,95.38090313684738,95.38090313684738,95.38090313684738,94.8035160289535,95.38090313684738,95.38090313684738,95.38090313684738,95.65667011375224,95.65667011375224,95.34643226473514,95.34643226473514,95.34643226473514,94.8035160289535,94.8035160289535,94.24336435711572,94.24336435711572,94.24336435711572,93.95036194415621,93.95036194415621,94.24336435711768,94.24336435711768,94.24336435711768,94.24336435711768,93.12306101344312,93.12306101344312,93.12306101344312,93.12306101344312,93.12306101344312,93.07135470527768,93.07135470527768,93.07135470527768,93.07135470527768,93.07135470527768,0,0,0,20.63081695966915,20.63081695966915,20.63081695966915,20.63081695966915,20.63081695966915,47.08721130644561,47.08721130644561,47.08721130644561,47.08721130644561,47.08721130644561,47.08721130644561,47.08721130644561,47.08721130644561,70.63081695966842,70.63081695966842,70.63081695966842,99.99999999999854,99.99999999999854,99.99999999999854,99.99999999999854,82.73009307135305,65.46018614270757,65.46018614270757,65.46018614270757,65.46018614270757,65.46018614270757,65.46018614270757,80.97207859358424,80.97207859358424,80.97207859358424,80.97207859358424,86.1427094105451,86.1427094105451,86.1427094105451,86.1427094105451,86.1427094105451,96.51844191657905,96.51844191657905,96.51844191657905,96.51844191657905,96.51844191657905,96.51844191657905,96.51844191657905,93.07135470527376,93.07135470527376,93.07135470527376,93.07135470527376,91.36504653567727,91.36504653567727,94.20889348500543,94.20889348500543,94.20889348500543,93.01964839710344,93.01964839710344,93.01964839710344,93.01964839710344,93.01964839710344,95.31196139262093,95.31196139262093,99.89658738365884,99.89658738365884,99.89658738365884,99.89658738365884,99.89658738365884,99.89658738365884,99.8965873836559,99.8965873836559,99.8965873836559,99.8965873836559,99.8965873836559,99.8965873836559,98.19027921406135,98.19027921406135,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,96.4839710444668,94.77766287487225,94.77766287487225,93.07135470527768,93.07135470527768,93.07135470527768,93.07135470527768,93.07135470527768,93.07135470527768,93.07135470527768,91.31334022750889,91.31334022750889,91.31334022750889,91.31334022750889,91.31334022750889,91.31334022750889,89.55532574974008,89.55532574974008,89.55532574974008,89.55532574974008,89.55532574974008,91.31334022750889,91.31334022750889,91.31334022750889,93.07135470527376,93.07135470527376,94.82936918304061,94.82936918304061,94.82936918304061,94.82936918304061,94.82936918304061,94.82936918304061,94.82936918304061,94.82936918304061,94.82936918304061,94.82936918304061,95.38090313684935,96.53567735263518,96.53567735263518,96.53567735263518,96.4839710444668,94.7776628748693,94.7776628748693,94.7776628748693,94.7776628748693,94.7776628748693,94.7776628748693,94.7776628748693,94.7776628748693,94.24336435711768,94.24336435711768,94.24336435711768,93.12306101344312,95.41537400896159,95.41537400896159,95.41537400896159,95.41537400896159,96.58738366080648,96.55291278869521,96.55291278869521,96.55291278869521,96.55291278869521,96.55291278869521,96.55291278869521,96.55291278869521,98.2419855222356,98.2419855222356,98.2419855222356,98.2419855222356,93.12306101344606,93.12306101344606,93.12306101344606,93.12306101344606,93.12306101344606,91.41675284384857,91.41675284384857,91.41675284384857,91.41675284384857,92.00275766976857,92.00275766976857,92.00275766976857,92.00275766976857,93.14891416752731,93.14891416752731,93.14891416752731,94.27783522922994,94.27783522922994,95.70837642192355,95.70837642192355,95.70837642192355,96.5873836608055,97.44053774560523,97.44053774560523,97.44053774560523,98.86246122027079,98.86246122027079,98.29369183040545,98.86246122027275,98.86246122027275]",1,0.033,0.05,-0.5,1,84.7808227,TRUE,75,0,0,0,0,1,1,"You reached the planet, you get 1 ruby!",You did not have enough fuel to reach the planet and missed 1 ruby!,stim/image1.png,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
